BEICOLA RESTAURANTE,Restaurante,R,Osvaldo Denari,25, Jardim Munique,São Carlos, SP,13568-600,16,33745274
COLOMBO'S RESTAURANTE,Restaurante,R,Chile,446, Vila Brasília,São Carlos, SP,13566-610,16,34157779,33069979
RESTAURANTE PARAÍSO,Restaurante,R,Dona Maria Jacinta,340, Jardim Paraíso,São Carlos, SP,13561-120,16,33766424,34110498
CURINGA RESTAURANTE,Restaurante,Av,Trabalhador Sancarlense,650, Parque Arnold Schimidt,São Carlos, SP,13566-590,16,34133777,34134615,992360375
RESTAURANTE SÃO CARLOS,Restaurante,R,São Joaquim 1159 CS,2, Vila Monteiro,São Carlos, SP,13560-300,16,33761757
BECCO'S -RESTAURANTE,Restaurante,R,Visconde de Inhaúma,1265, Centro,São Carlos, SP,13560-190,16,33711998,32111998,34130759
NIRAY RESTAURANTES,Restaurante,R,Major José Inácio,2273, Centro,São Carlos, SP,13560-161,16,34156505,33642069,34126860
PIASSA RESTAURANTE,Restaurante,R,Miguel Petroni,2338, Centro,São Carlos, SP,13561-002,16,34131896,33761153
RANGA RESTAURANTE,Restaurante,Al,Papoulas,171, Cidade Jardim,São Carlos, SP,13566-545,16,981056701
RESTAURANTE LUZITANO,Restaurante,R,Osvaldo Denari,35 SL, Jardim Munique,São Carlos, SP,13568-600,16,33724391
ALFRED RESTAURANTE,Restaurante,R,7 de Setembro,2203, Centro,São Carlos, SP,13560-180,16,991838131,991415878,991612094
RESTAURANTE BARONE,Restaurante,Av,Doutor Carlos Botelho,1671, Centro,São Carlos, SP,13560-250,16,34128586
RESTAURANTE SÓ PASTA,Restaurante,R,Aquidaban,521, Centro,São Carlos, SP,13560-120,16,33077878
GOIANIO RESTAURANTES,Restaurante,R,General Osório,1040, Jardim São Carlos,São Carlos, SP,13560-640,,
RESTAURANTE RR,Restaurante,R,Episcopal,1309, Núcleo Residencial Sílvio Vilari,São Carlos, SP,13560-570,16,33072229
TULHA RESTAURANTE,Restaurante,R,Miguel Dahma,, Vila Prado,São Carlos, SP,13574-200,16,21066057
ANETE RESTAURANTE,Restaurante,Av,Francisco Pereira Lopes,2635, Jardim Paraíso,São Carlos, SP,13564-740,16,33071355
JOANA RESTAURANTE,Restaurante,R,Rio Tietê 981 CS,1, Jardim Jockei Club Área,São Carlos, SP,13565-190,,
RESTAURANTE FAROL,Restaurante,R,Antônio Blanco,1163, Vila Costa do Sol,São Carlos, SP,13566-020,16,31164340,33617078
QUE APETITE RESTAURANTE,Restaurante,R,Padre Teixeira,3831, Chácara Parollo,São Carlos, SP,13569-180,16,33716529
RESTAURANTE YA SAN RESTAURANTE BAR,Restaurante,Av,Doutor Carlos Botelho,1768, Centro,São Carlos, SP,13560-250,16,33071165
RESTAURANTE RODA VINHO,Restaurante,R,Major José Inácio,2421, Centro,São Carlos, SP,13560-161,16,34154205
RESTAURANTE COZINHA ITALIANA,Restaurante,Av,Teixeira de Barros,526, Vila Prado,São Carlos, SP,13574-033,16,33722642
CHILLE TACO RESTAURANTE,Restaurante,R,15 de Novembro,1660, Centro,São Carlos, SP,13560-240,16,33741949
LA VILLA RESTAURANTE,Restaurante,R,15 de Novembro,1330, Parque Santa Mônica,São Carlos, SP,13561-206,16,33762843
RESTAURANTE SABOR DIVINO SÃO CARLOS,Restaurante,R,9 de Julho,964, Centro,São Carlos, SP,13560-042,,
RESTAURANTE E BUFFET CANTOS E CONTOS,Restaurante,R,Major José Inácio,2211, Centro,São Carlos, SP,13560-160,16,33726661,33728104
BOM PETISCO RESTAURANTE,Restaurante,R,9 de Julho,1060, Centro,São Carlos, SP,13560-042,16,33727229
LANCHONETE E RESTAURANTE PALADAR,Restaurante,R,Claudenice Baldan Maiello,210, Parque Novo Mundo,São Carlos, SP,13573-532,16,33717531
RESTAURANTE CASA DA SOGRA,Restaurante,R,São Sebastião,2263 FDS, Centro,São Carlos, SP,13560-230,16,33766744
RAIMUNDO NONATO MARTINS RESTAURANTE,Restaurante,R,Episcopal,1309, Núcleo Residencial Sílvio Vilari,São Carlos, SP,13560-570,,
RESTAURANTE NOVO SABOR,Restaurante,R,Jesuino de Arruda,2039 A, Jardim São Carlos,São Carlos, SP,13560-642,,
RESTAURANTE YO KONNO,Restaurante,R,Aquidaban,1342, Centro,São Carlos, SP,13560-120,16,34131666
